epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.20812,0.98195,2.6796,1.31631,0.56904,0.85,0.80196,0.61262,1.63323,1.10951,1.37882,0,0,0
2,9.87693,1.02676,3.2776,1.38045,0.5693,0.85,0.84195,0.63701,1.63881,1.09236,1.37811,1.17822e-06,1.17822e-06,1.17822e-06
3,14.41,1.40832,2.72798,1.81219,0.56126,0.85,0.84339,0.63781,1.65191,1.0932,1.37917,2.33288e-06,2.33288e-06,2.33288e-06
4,19.082,1.51942,3.01928,2.09568,0.56132,0.85,0.80249,0.61303,1.65696,1.08417,1.37973,3.46397e-06,3.46397e-06,3.46397e-06
5,23.9979,1.4794,3.24668,1.95068,0.55985,0.85,0.84894,0.63077,1.65125,1.08021,1.37212,4.5715e-06,4.5715e-06,4.5715e-06
6,28.5253,1.16071,2.76771,1.47421,0.5482,0.85,0.80821,0.60469,1.63301,1.07527,1.35722,5.65548e-06,5.65548e-06,5.65548e-06
7,32.8989,1.16694,2.4345,1.42662,0.55586,0.85,0.80821,0.60465,1.62747,1.0713,1.35172,6.71588e-06,6.71588e-06,6.71588e-06
8,37.4269,0.97427,2.48954,1.23225,0.60627,0.93333,0.87307,0.61056,1.6309,1.07018,1.35057,7.75273e-06,7.75273e-06,7.75273e-06
9,42.1349,1.10946,3.71506,1.46826,0.57164,0.85,0.81356,0.62646,1.60385,1.0533,1.33272,8.76602e-06,8.76602e-06,8.76602e-06
10,47.0391,0.99401,2.44471,1.24491,0.57771,0.86038,0.81632,0.62642,1.60053,1.05392,1.33059,9.75574e-06,9.75574e-06,9.75574e-06
11,51.8227,1.13422,2.87895,1.41604,0.58811,0.86667,0.86477,0.65379,1.58978,1.05061,1.32295,1.07219e-05,1.07219e-05,1.07219e-05
12,56.674,0.88725,2.11285,1.27975,0.59266,0.86667,0.87065,0.65028,1.59718,1.05943,1.32491,1.16645e-05,1.16645e-05,1.16645e-05
13,61.025,0.92412,1.90986,1.45337,0.60033,0.86667,0.86125,0.63261,1.59039,1.06307,1.32101,1.25835e-05,1.25835e-05,1.25835e-05
14,65.4802,1.01742,2.25823,1.39124,0.77592,0.65,0.87796,0.63427,1.58151,1.06468,1.31862,1.3479e-05,1.3479e-05,1.3479e-05
15,69.8564,1.06872,1.90398,1.42311,0.77813,0.65,0.8781,0.63735,1.58416,1.07051,1.31977,1.43509e-05,1.43509e-05,1.43509e-05
16,74.1609,1.10104,2.19699,1.60018,0.81377,0.65,0.89834,0.64739,1.5896,1.08151,1.32156,1.51993e-05,1.51993e-05,1.51993e-05
17,78.4349,0.93131,2.22224,1.35015,0.822,0.65,0.91241,0.64393,1.59854,1.09196,1.32424,1.60241e-05,1.60241e-05,1.60241e-05
18,82.5115,1.13903,2.51213,1.46369,0.822,0.65,0.91241,0.64393,1.59854,1.09196,1.32424,1.68253e-05,1.68253e-05,1.68253e-05
19,86.7877,1.05659,1.53718,1.27431,0.80793,0.65,0.89821,0.63039,1.59749,1.10705,1.32576,1.7603e-05,1.7603e-05,1.7603e-05
20,91.0575,1.00503,1.49467,1.28665,0.80793,0.65,0.89821,0.63039,1.59749,1.10705,1.32576,1.83571e-05,1.83571e-05,1.83571e-05
21,95.439,1.15794,3.22783,1.50596,0.8196,0.65,0.88436,0.62884,1.61048,1.13533,1.32911,1.90876e-05,1.90876e-05,1.90876e-05
22,99.5339,0.98572,1.80925,1.50667,0.8196,0.65,0.88436,0.62884,1.61048,1.13533,1.32911,1.97946e-05,1.97946e-05,1.97946e-05
23,104.213,1.061,2.03156,1.31262,0.80834,0.65,0.85469,0.62074,1.6336,1.16699,1.35144,2.0478e-05,2.0478e-05,2.0478e-05
24,108.605,1.04936,1.66164,1.36623,0.80834,0.65,0.85469,0.62074,1.6336,1.16699,1.35144,2.11379e-05,2.11379e-05,2.11379e-05
25,114.344,0.88789,1.98597,1.26529,0.82393,0.65,0.85478,0.61217,1.65586,1.20453,1.36483,2.17741e-05,2.17741e-05,2.17741e-05
26,120.337,0.95469,1.60327,1.3939,0.82393,0.65,0.85478,0.61217,1.65586,1.20453,1.36483,2.23869e-05,2.23869e-05,2.23869e-05
27,134.215,0.90482,1.54355,1.25073,0.82383,0.65,0.85479,0.61217,1.65038,1.21928,1.36341,2.2976e-05,2.2976e-05,2.2976e-05
28,139.398,0.84936,1.4811,1.21152,0.82383,0.65,0.85479,0.61217,1.65038,1.21928,1.36341,2.35417e-05,2.35417e-05,2.35417e-05
29,143.884,1.17095,1.70048,1.39642,0.8187,0.65,0.85493,0.61228,1.64664,1.23885,1.36482,2.40837e-05,2.40837e-05,2.40837e-05
30,148.275,0.78665,1.3488,1.14026,0.8187,0.65,0.85493,0.61228,1.64664,1.23885,1.36482,2.46022e-05,2.46022e-05,2.46022e-05
31,152.723,0.89462,1.44914,1.28911,0.80962,0.65,0.85184,0.60096,1.64284,1.27925,1.36445,2.50971e-05,2.50971e-05,2.50971e-05
32,157.011,0.99029,1.35424,1.27021,0.80962,0.65,0.85184,0.60096,1.64284,1.27925,1.36445,2.55685e-05,2.55685e-05,2.55685e-05
33,161.642,0.87885,1.59699,1.35476,0.78234,0.65,0.8524,0.59995,1.64765,1.32505,1.37017,2.60163e-05,2.60163e-05,2.60163e-05
34,166.015,0.77482,1.40163,1.23933,0.78234,0.65,0.8524,0.59995,1.64765,1.32505,1.37017,2.64405e-05,2.64405e-05,2.64405e-05
35,170.386,0.89448,1.44675,1.18511,0.78154,0.65,0.76963,0.53746,1.64207,1.3541,1.36135,2.68412e-05,2.68412e-05,2.68412e-05
